,DMA_AREA,GTBible,GTQuran,GTCatholic_Church,GTMosque,GTChristianity,GTMuslim,cbsatitle,GSSProtestantRate,GSSCatholicRate,GSSJewishRate,GSSBuddaismRate,GSSMuslimRate,GSS_AREA_from_Amy,DMA_CO,CBSA_CODE
38,Charleston-Huntington WV,99.0,1.0,85.33333333333333,14.666666666666664,86.0,14.0,1597.0,0.6179775279999999,0.213483146,0.0,0.0,0.0,"Parkersburg-Vienna, WV",34.0,37620.0
39,Charleston-Huntington WV,99.0,1.0,85.33333333333333,14.666666666666664,86.0,14.0,1622.0,0.783783784,0.040540541,0.0,0.0,0.0,"Point Pleasant, WV-OH",34.0,38580.0
40,Charlotte NC,98.0,2.0,84.33333333333333,15.666666666666664,85.0,15.0,1314.0,0.880149813,0.04494382,0.0,0.003745318,0.0,"Hickory-Lenoir-Morganton, NC",35.0,25860.0
41,Charlotte NC,98.0,2.0,84.33333333333333,15.666666666666664,85.0,15.0,1098.0,0.818330606,0.080196399,0.009819966999999999,0.003273322,0.0,"Charlotte-Concord-Gastonia, NC-SC",35.0,16740.0
42,Charlottesville VA,96.0,4.0,80.33333333333333,19.666666666666668,80.0,20.0,,,,,,,,,
43,Chattanooga TN,99.0,1.0,86.33333333333331,13.666666666666664,88.0,12.0,,,,,,,,,
44,Cheyenne WY-Scottsbluff NE,97.0,3.0,88.66666666666669,11.333333333333336,84.0,16.0,,,,,,,,,
45,Chicago IL,93.0,7.0,73.0,27.0,75.0,25.0,1103.0,0.45918367299999996,0.367346939,0.019387755,0.0015306120000000002,0.00255102,"Chicago-Naperville-Elgin, IL-IN-WI",39.0,16980.0
46,Chico-Redding CA,98.0,2.0,89.33333333333331,10.666666666666666,83.0,17.0,1104.0,0.255555556,0.177777778,0.011111111000000002,0.011111111000000002,0.0,"Chico, CA",40.0,17020.0
47,Cincinnati OH,96.33333333333331,3.6666666666666665,88.0,12.0,80.0,20.0,1106.0,0.503042596,0.24949290100000002,0.010141988000000001,0.006085193000000001,0.004056795,"Cincinnati, OH-KY-IN",41.0,17140.0
48,Clarksburg-Weston WV,98.0,2.0,83.66666666666667,16.333333333333332,86.0,14.0,,,,,,,,,
49,Cleveland-Akron (Canton) OH,96.0,4.0,87.0,13.0,79.0,21.0,1115.0,0.463898917,0.373646209,0.018050542,0.001805054,0.003610108,"Cleveland-Elyria, OH",43.0,17460.0
50,Cleveland-Akron (Canton) OH,96.0,4.0,87.0,13.0,79.0,21.0,945.0,0.6953125,0.2265625,0.0078125,0.0,0.0,"Akron, OH",43.0,10420.0
