DateStart,DateEnd,Interval Days,GeoName,Keyword1_/m/02vxy_,Keyword2_/m/04_xn
2012-01-01,2018-12-31,2557,Jonesboro AR,89,11
2012-01-01,2018-12-31,2557,Joplin MO-Pittsburg KS,92,8
2012-01-01,2018-12-31,2557,Juneau AK,90,10
2012-01-01,2018-12-31,2557,Kansas City MO,90,10
2012-01-01,2018-12-31,2557,Knoxville TN,88,12
2012-01-01,2018-12-31,2557,La Crosse-Eau Claire WI,93,7
2012-01-01,2018-12-31,2557,Lafayette IN,86,14
2012-01-01,2018-12-31,2557,Lafayette LA,97,3
2012-01-01,2018-12-31,2557,Lake Charles LA,97,3
2012-01-01,2018-12-31,2557,Lansing MI,89,11
2012-01-01,2018-12-31,2557,Laredo TX,94,6
2012-01-01,2018-12-31,2557,Las Vegas NV,87,13
2012-01-01,2018-12-31,2557,Lexington KY,86,14
2012-01-01,2018-12-31,2557,Lima OH,96,4
2012-01-01,2018-12-31,2557,Lincoln & Hastings-Kearney NE,93,7
2012-01-01,2018-12-31,2557,Little Rock-Pine Bluff AR,88,12
2012-01-01,2018-12-31,2557,Los Angeles CA,84,16
2012-01-01,2018-12-31,2557,Louisville KY,88,12
2012-01-01,2018-12-31,2557,Lubbock TX,91,9
2012-01-01,2018-12-31,2557,Macon GA,82,18
2012-01-01,2018-12-31,2557,Madison WI,90,10
2012-01-01,2018-12-31,2557,Mankato MN,92,8
2012-01-01,2018-12-31,2557,Marquette MI,92,8
2012-01-01,2018-12-31,2557,Medford-Klamath Falls OR,89,11
2012-01-01,2018-12-31,2557,Memphis TN,81,19
2012-01-01,2018-12-31,2557,Meridian MS,90,10
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,85,15
2012-01-01,2018-12-31,2557,Milwaukee WI,89,11
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,82,18
2012-01-01,2018-12-31,2557,Minot-Bismarck-Dickinson(Williston) ND,96,4
2012-01-01,2018-12-31,2557,Missoula MT,90,10
2012-01-01,2018-12-31,2557,Mobile AL-Pensacola (Ft. Walton Beach) FL,91,9
2012-01-01,2018-12-31,2557,Monroe LA-El Dorado AR,89,11
2012-01-01,2018-12-31,2557,Monterey-Salinas CA,84,16
2012-01-01,2018-12-31,2557,Montgomery (Selma) AL,85,15
2012-01-01,2018-12-31,2557,Nashville TN,85,15
2012-01-01,2018-12-31,2557,New Orleans LA,92,8
2012-01-01,2018-12-31,2557,New York NY,73,27
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,88,12
2012-01-01,2018-12-31,2557,North Platte NE,95,5
2012-01-01,2018-12-31,2557,Odessa-Midland TX,92,8
2012-01-01,2018-12-31,2557,Oklahoma City OK,88,12
2012-01-01,2018-12-31,2557,Omaha NE,93,7
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,82,18
2012-01-01,2018-12-31,2557,Ottumwa IA-Kirksville MO,93,7
2012-01-01,2018-12-31,2557,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,90,10
2012-01-01,2018-12-31,2557,Palm Springs CA,92,8
2012-01-01,2018-12-31,2557,Panama City FL,87,13
2012-01-01,2018-12-31,2557,Parkersburg WV,90,10
2012-01-01,2018-12-31,2557,Peoria-Bloomington IL,88,12
2012-01-01,2018-12-31,2557,Philadelphia PA,81,19
2012-01-01,2018-12-31,2557,Phoenix AZ,88,12
2012-01-01,2018-12-31,2557,Pittsburgh PA,92,8
2012-01-01,2018-12-31,2557,Portland OR,71,29
2012-01-01,2018-12-31,2557,Portland-Auburn ME,85,15
2012-01-01,2018-12-31,2557,Presque Isle ME,90,10
2012-01-01,2018-12-31,2557,Providence RI-New Bedford MA,87,13
2012-01-01,2018-12-31,2557,Quincy IL-Hannibal MO-Keokuk IA,93,7
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,71,29
2012-01-01,2018-12-31,2557,Rapid City SD,95,5
2012-01-01,2018-12-31,2557,Reno NV,90,10
2012-01-01,2018-12-31,2557,Richmond-Petersburg VA,82,18
2012-01-01,2018-12-31,2557,Roanoke-Lynchburg VA,47,53
2012-01-01,2018-12-31,2557,Rochester MN-Mason City IA-Austin MN,85,15
2012-01-01,2018-12-31,2557,Rochester NY,87,13
2012-01-01,2018-12-31,2557,Rockford IL,88,12
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,81,19
2012-01-01,2018-12-31,2557,Salisbury MD,89,11
2012-01-01,2018-12-31,2557,Salt Lake City UT,86,14
2012-01-01,2018-12-31,2557,San Angelo TX,97,3
2012-01-01,2018-12-31,2557,San Antonio TX,91,9
2012-01-01,2018-12-31,2557,San Diego CA,85,15
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,76,24
2012-01-01,2018-12-31,2557,Santa Barbara-Santa Maria-San Luis Obispo CA,87,13
2012-01-01,2018-12-31,2557,Savannah GA,87,13
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,77,23
2012-01-01,2018-12-31,2557,Sherman TX-Ada OK,89,11
2012-01-01,2018-12-31,2557,Shreveport LA,88,12
2012-01-01,2018-12-31,2557,Sioux City IA,95,5
2012-01-01,2018-12-31,2557,Sioux Falls(Mitchell) SD,94,6
2012-01-01,2018-12-31,2557,South Bend-Elkhart IN,92,8
2012-01-01,2018-12-31,2557,Spokane WA,90,10
2012-01-01,2018-12-31,2557,Springfield MO,92,8
2012-01-01,2018-12-31,2557,Springfield-Holyoke MA,83,17
2012-01-01,2018-12-31,2557,St. Joseph MO,92,8
2012-01-01,2018-12-31,2557,St. Louis MO,89,11
2012-01-01,2018-12-31,2557,Syracuse NY,82,18
2012-01-01,2018-12-31,2557,Tallahassee FL-Thomasville GA,86,14
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,85,15
2012-01-01,2018-12-31,2557,Terre Haute IN,91,9
2012-01-01,2018-12-31,2557,Toledo OH,88,12
2012-01-01,2018-12-31,2557,Topeka KS,93,7
2012-01-01,2018-12-31,2557,Traverse City-Cadillac MI,94,6
2012-01-01,2018-12-31,2557,Tri-Cities TN-VA,87,13
2012-01-01,2018-12-31,2557,Tucson (Sierra Vista) AZ,89,11
2012-01-01,2018-12-31,2557,Tulsa OK,75,25
2012-01-01,2018-12-31,2557,Twin Falls ID,86,14
2012-01-01,2018-12-31,2557,Tyler-Longview(Lufkin & Nacogdoches) TX,90,10
2012-01-01,2018-12-31,2557,Utica NY,84,16
2012-01-01,2018-12-31,2557,Victoria TX,87,13
2012-01-01,2018-12-31,2557,Waco-Temple-Bryan TX,88,12
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),76,24
2012-01-01,2018-12-31,2557,Watertown NY,87,13
2012-01-01,2018-12-31,2557,Wausau-Rhinelander WI,94,6
2012-01-01,2018-12-31,2557,West Palm Beach-Ft. Pierce FL,86,14
2012-01-01,2018-12-31,2557,Wheeling WV-Steubenville OH,97,3
2012-01-01,2018-12-31,2557,Wichita Falls TX & Lawton OK,92,8
2012-01-01,2018-12-31,2557,Wichita-Hutchinson KS,94,6
2012-01-01,2018-12-31,2557,Wilkes Barre-Scranton PA,90,10
2012-01-01,2018-12-31,2557,Wilmington NC,88,12
2012-01-01,2018-12-31,2557,Yakima-Pasco-Richland-Kennewick WA,93,7
2012-01-01,2018-12-31,2557,Youngstown OH,88,12
2012-01-01,2018-12-31,2557,Yuma AZ-El Centro CA,95,5
2012-01-01,2018-12-31,2557,Zanesville OH,89,11
