DateStart,DateEnd,Interval Days,GeoName,Keyword1_/m/015j7,Keyword2_/m/096tx
2012-01-01,2018-12-31,2557,Jonesboro AR,98,2
2012-01-01,2018-12-31,2557,Joplin MO-Pittsburg KS,98,2
2012-01-01,2018-12-31,2557,Juneau AK,100,0
2012-01-01,2018-12-31,2557,Kansas City MO,96,4
2012-01-01,2018-12-31,2557,Knoxville TN,98,2
2012-01-01,2018-12-31,2557,La Crosse-Eau Claire WI,97,3
2012-01-01,2018-12-31,2557,Lafayette IN,94,6
2012-01-01,2018-12-31,2557,Lafayette LA,98,2
2012-01-01,2018-12-31,2557,Lake Charles LA,99,1
2012-01-01,2018-12-31,2557,Lansing MI,94,6
2012-01-01,2018-12-31,2557,Laredo TX,99,1
2012-01-01,2018-12-31,2557,Las Vegas NV,96,4
2012-01-01,2018-12-31,2557,Lexington KY,98,2
2012-01-01,2018-12-31,2557,Lima OH,98,2
2012-01-01,2018-12-31,2557,Lincoln & Hastings-Kearney NE,96,4
2012-01-01,2018-12-31,2557,Little Rock-Pine Bluff AR,98,2
2012-01-01,2018-12-31,2557,Los Angeles CA,95,5
2012-01-01,2018-12-31,2557,Louisville KY,97,3
2012-01-01,2018-12-31,2557,Lubbock TX,98,2
2012-01-01,2018-12-31,2557,Macon GA,97,3
2012-01-01,2018-12-31,2557,Madison WI,96,4
2012-01-01,2018-12-31,2557,Mankato MN,91,9
2012-01-01,2018-12-31,2557,Marquette MI,96,4
2012-01-01,2018-12-31,2557,Medford-Klamath Falls OR,98,2
2012-01-01,2018-12-31,2557,Memphis TN,97,3
2012-01-01,2018-12-31,2557,Meridian MS,99,1
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,97,3
2012-01-01,2018-12-31,2557,Milwaukee WI,95,5
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,88,12
2012-01-01,2018-12-31,2557,Minot-Bismarck-Dickinson(Williston) ND,98,2
2012-01-01,2018-12-31,2557,Missoula MT,97,3
2012-01-01,2018-12-31,2557,Mobile AL-Pensacola (Ft. Walton Beach) FL,98,2
2012-01-01,2018-12-31,2557,Monroe LA-El Dorado AR,98,2
2012-01-01,2018-12-31,2557,Monterey-Salinas CA,94,6
2012-01-01,2018-12-31,2557,Montgomery (Selma) AL,99,1
2012-01-01,2018-12-31,2557,Nashville TN,98,2
2012-01-01,2018-12-31,2557,New Orleans LA,97,3
2012-01-01,2018-12-31,2557,New York NY,89,11
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,97,3
2012-01-01,2018-12-31,2557,North Platte NE,100,0
2012-01-01,2018-12-31,2557,Odessa-Midland TX,99,1
2012-01-01,2018-12-31,2557,Oklahoma City OK,98,2
2012-01-01,2018-12-31,2557,Omaha NE,96,4
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,96,4
2012-01-01,2018-12-31,2557,Ottumwa IA-Kirksville MO,98,2
2012-01-01,2018-12-31,2557,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,98,2
2012-01-01,2018-12-31,2557,Palm Springs CA,97,3
2012-01-01,2018-12-31,2557,Panama City FL,97,3
2012-01-01,2018-12-31,2557,Parkersburg WV,98,2
2012-01-01,2018-12-31,2557,Peoria-Bloomington IL,97,3
2012-01-01,2018-12-31,2557,Philadelphia PA,93,7
2012-01-01,2018-12-31,2557,Phoenix AZ,96,4
2012-01-01,2018-12-31,2557,Pittsburgh PA,96,4
2012-01-01,2018-12-31,2557,Portland OR,89,11
2012-01-01,2018-12-31,2557,Portland-Auburn ME,89,11
2012-01-01,2018-12-31,2557,Presque Isle ME,100,0
2012-01-01,2018-12-31,2557,Providence RI-New Bedford MA,94,6
2012-01-01,2018-12-31,2557,Quincy IL-Hannibal MO-Keokuk IA,98,2
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,96,4
2012-01-01,2018-12-31,2557,Rapid City SD,98,2
2012-01-01,2018-12-31,2557,Reno NV,96,4
2012-01-01,2018-12-31,2557,Richmond-Petersburg VA,96,4
2012-01-01,2018-12-31,2557,Roanoke-Lynchburg VA,80,20
2012-01-01,2018-12-31,2557,Rochester MN-Mason City IA-Austin MN,86,14
2012-01-01,2018-12-31,2557,Rochester NY,94,6
2012-01-01,2018-12-31,2557,Rockford IL,96,4
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,94,6
2012-01-01,2018-12-31,2557,Salisbury MD,97,3
2012-01-01,2018-12-31,2557,Salt Lake City UT,94,6
2012-01-01,2018-12-31,2557,San Angelo TX,99,1
2012-01-01,2018-12-31,2557,San Antonio TX,97,3
2012-01-01,2018-12-31,2557,San Diego CA,94,6
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,91,9
2012-01-01,2018-12-31,2557,Santa Barbara-Santa Maria-San Luis Obispo CA,96,4
2012-01-01,2018-12-31,2557,Savannah GA,98,2
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,93,7
2012-01-01,2018-12-31,2557,Sherman TX-Ada OK,98,2
2012-01-01,2018-12-31,2557,Shreveport LA,99,1
2012-01-01,2018-12-31,2557,Sioux City IA,97,3
2012-01-01,2018-12-31,2557,Sioux Falls(Mitchell) SD,97,3
2012-01-01,2018-12-31,2557,South Bend-Elkhart IN,97,3
2012-01-01,2018-12-31,2557,Spokane WA,97,3
2012-01-01,2018-12-31,2557,Springfield MO,99,1
2012-01-01,2018-12-31,2557,Springfield-Holyoke MA,93,7
2012-01-01,2018-12-31,2557,St. Joseph MO,98,2
2012-01-01,2018-12-31,2557,St. Louis MO,96,4
2012-01-01,2018-12-31,2557,Syracuse NY,91,9
2012-01-01,2018-12-31,2557,Tallahassee FL-Thomasville GA,98,2
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,96,4
2012-01-01,2018-12-31,2557,Terre Haute IN,98,2
2012-01-01,2018-12-31,2557,Toledo OH,95,5
2012-01-01,2018-12-31,2557,Topeka KS,97,3
2012-01-01,2018-12-31,2557,Traverse City-Cadillac MI,97,3
2012-01-01,2018-12-31,2557,Tri-Cities TN-VA,99,1
2012-01-01,2018-12-31,2557,Tucson (Sierra Vista) AZ,95,5
2012-01-01,2018-12-31,2557,Tulsa OK,91,9
2012-01-01,2018-12-31,2557,Twin Falls ID,98,2
2012-01-01,2018-12-31,2557,Tyler-Longview(Lufkin & Nacogdoches) TX,99,1
2012-01-01,2018-12-31,2557,Utica NY,89,11
2012-01-01,2018-12-31,2557,Victoria TX,98,2
2012-01-01,2018-12-31,2557,Waco-Temple-Bryan TX,98,2
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),90,10
2012-01-01,2018-12-31,2557,Watertown NY,92,8
2012-01-01,2018-12-31,2557,Wausau-Rhinelander WI,98,2
2012-01-01,2018-12-31,2557,West Palm Beach-Ft. Pierce FL,97,3
2012-01-01,2018-12-31,2557,Wheeling WV-Steubenville OH,98,2
2012-01-01,2018-12-31,2557,Wichita Falls TX & Lawton OK,98,2
2012-01-01,2018-12-31,2557,Wichita-Hutchinson KS,97,3
2012-01-01,2018-12-31,2557,Wilkes Barre-Scranton PA,96,4
2012-01-01,2018-12-31,2557,Wilmington NC,98,2
2012-01-01,2018-12-31,2557,Yakima-Pasco-Richland-Kennewick WA,97,3
2012-01-01,2018-12-31,2557,Youngstown OH,97,3
2012-01-01,2018-12-31,2557,Yuma AZ-El Centro CA,98,2
2012-01-01,2018-12-31,2557,Zanesville OH,100,0
